12.1.1.6. Helyhez kötött internet-elõfizetések száma hozzáférési szolgáltatások szerint, december 31.;;;;;;;
Év;Vezetékes;"Ebbõl: Kapcsolt vonalon
(modem segítségével) 
+ ISDN";Ebbõl: xDSL hálózaton;Ebbõl: kábel-tv hálózaton;Ebbõl: optikai hálózaton;Vezeték nélküli;Összesen
2003;606 054;391 398;114 813;77 189;..;60 538;666 592
2004;706 755;320 494;235 969;135 803;..;88 122;794 877
2005;844 749;241 611;372 523;212 145;..;155 988;1 000 737
2006;1 077 851;85 878;597 331;374 647;..;51 990;1 129 841
2007;1 397 662;62 985;739 028;563 593;..;77 640;1 475 302
2008;1 632 791;24 742;806 569;718 060;..;107 288;1 740 079
2009;1 766 645;22 403;800 013;782 430;..;103 898;1 870 543
2010;1 934 425;15 137;789 657;893 177;..;100 127;2 034 552
2011;2 077 577;13 527;801 165;970 499;..;100 106;2 177 683
2012;2 176 962;12 897;774 458;1 055 078;..;101 265;2 278 227
2013;2 303 733;12 452;765 846;1 144 496;..;103 874;2 407 607
2014;2 439 236;8 754;780 905;1 229 170;..;114 120;2 553 356
2015;2 564 835;4 953;788 253;1 300 059;..;117 324;2 682 159
2016;2 684 503;..;774 450;1 364 536;529 781;126 022;2 810 525
2017;2 803 600;..;747 736;1 414 272;626 979;130 544;2 934 144
2018;2 974 357;..;735 691;1 482 138;740 764;134 309;3 108 666
2019;3 063 654;..;670 273;1 506 041;870 624;130 257;3 193 911
2020;3 158 024;..;594 194;1 533 749;1 013 301;131 548;3 289 572
2021;3 246 098;..;524 597;1 556 483;1 159 318;136 038;3 382 136
2022;3 347 065;..;453 087;1 522 205;1 364 277;168 868;3 515 933
